CustomerID,Age,Gender,State,TenureMonths,MonthlyCharges,TotalCharges,DataUsageGB,CallMinutes,SMSCount,CustomerSupportCalls,NetworkComplaints,LatePayments,PlanType,ContractType,PaymentMethod,FamilyPlan,InternationalCalls,DeviceAgeMonths,AvgMonthlyRecharge,Churn
CUST000001,56,Female,Bihar,38,2516.76,91265.06,2.23,4936,2684,11,3,1,Premium,TwoYear,UPI,No,No,35,2539.25,No
CUST000002,69,Male,Chhattisgarh,49,2261.33,101500.8,72.01,4052,1456,5,5,0,Basic,Yearly,Credit Card,No,No,31,2551.49,No
CUST000003,46,Male,Uttarakhand,117,3914.37,453065.54,80.2,1094,2143,19,10,0,Basic,Monthly,UPI,No,No,2,1316.32,No
CUST000004,32,Male,Rajasthan,94,2125.41,189857.54,162.83,4934,1523,0,5,0,Standard,Monthly,Net Banking,No,No,22,3458.94,No
CUST000005,60,Female,Gujarat,28,1662.31,44946.21,47.52,887,1217,9,4,1,Basic,TwoYear,Credit Card,No,No,22,147.96,No
CUST000006,25,Female,Madhya Pradesh,33,539.63,15885.1,23.16,1866,1000,16,8,11,Standard,Monthly,Debit Card,Yes,No,57,2284.96,Yes
CUST000007,38,Female,Gujarat,13,327.86,4412.68,52.91,523,858,14,1,1,Standard,Monthly,Debit Card,No,No,3,304.23,No
CUST000008,56,Female,Andhra Pradesh,88,2251.76,172813.69,98.21,90,107,14,7,6,Basic,Yearly,Credit Card,Yes,No,43,703.35,No
CUST000009,36,Female,Gujarat,44,1799.62,78237.34,14.76,3251,812,8,3,7,Standard,Yearly,Net Banking,No,No,30,2779.64,No
CUST000010,40,Female,Madhya Pradesh,101,2821.09,292674.27,58.61,2951,846,6,0,9,Standard,Monthly,Cash,No,Yes,48,404.47,No
CUST000011,28,Female,Haryana,86,3588.45,267501.56,50.26,1077,278,0,2,0,Basic,Yearly,UPI,Yes,Yes,43,651.34,No
CUST000012,28,Male,Rajasthan,52,296.03,13173.05,231.71,2660,2517,17,1,10,Standard,Monthly,UPI,Yes,No,3,794.55,Yes
CUST000013,41,Male,Gujarat,77,2531.46,178671.88,50.87,2985,2680,20,12,8,Premium,TwoYear,Cash,Yes,No,11,162.66,No
CUST000014,70,Female,Chhattisgarh,104,4323.66,453253.24,237.46,3777,2210,9,13,1,Standard,Monthly,Debit Card,Yes,Yes,39,2277.71,No
CUST000015,53,Female,Kerala,76,2330.32,175948.41,152.45,352,92,16,9,1,Basic,TwoYear,Debit Card,No,No,17,3281.99,No
CUST000016,57,Male,Assam,41,2654.09,110388.08,227.36,1574,21,4,2,3,Standard,Yearly,Debit Card,Yes,No,49,934.13,No
CUST000017,41,Female,Bihar,49,2485.28,113193.28,135.11,3076,1213,13,11,6,Basic,Yearly,Credit Card,No,No,60,3120.66,Yes
CUST000018,20,Female,Odisha,110,2009.99,231877.87,270.32,3079,1109,12,12,11,Premium,Monthly,Debit Card,Yes,Yes,40,2850.76,No
CUST000019,39,Male,Tamil Nadu,7,639.59,4133.38,82.96,3645,2186,7,0,2,Standard,TwoYear,Debit Card,No,No,22,2438.9,No
CUST000020,70,Female,Tamil Nadu,36,719.15,26176.17,230.04,4066,596,4,14,11,Basic,Monthly,Credit Card,No,Yes,23,1566.56,No
CUST000021,19,Male,Punjab,93,977.54,83652.98,49.03,1057,1652,11,13,11,Standard,Monthly,Credit Card,Yes,No,51,201.6,Yes
CUST000022,41,Female,Odisha,93,3983.57,331086.67,264.79,2088,2924,11,2,10,Standard,Monthly,UPI,No,Yes,22,580.88,Yes
CUST000023,61,Male,Madhya Pradesh,26,1449.13,34562.73,8.53,2323,2890,12,10,6,Premium,Monthly,Debit Card,No,Yes,42,618.57,Yes
CUST000024,47,Female,Kerala,27,4745.81,113854.16,137.23,3686,562,19,12,4,Basic,Monthly,Credit Card,Yes,Yes,43,3402.5,Yes
CUST000025,55,Male,Himachal Pradesh,24,4069.83,85546.73,126.38,72,234,15,9,4,Standard,TwoYear,Credit Card,No,No,47,1989.54,No
CUST000026,19,Male,Odisha,95,3454.25,302817.91,187.14,2643,1928,19,11,1,Standard,Yearly,Debit Card,No,No,44,3664.4,Yes
CUST000027,38,Female,Chhattisgarh,71,3629.93,226632.78,132.28,4806,1926,3,9,4,Basic,Monthly,Debit Card,No,Yes,44,116.72,No
CUST000028,50,Male,Bihar,81,333.4,25667.71,176.69,3149,1027,2,6,1,Premium,Monthly,Credit Card,Yes,No,43,1725.67,No
CUST000029,29,Male,Rajasthan,113,2885.11,279423.82,258.51,3272,2722,20,4,9,Basic,Monthly,Net Banking,Yes,Yes,26,3411.69,Yes
CUST000030,39,Male,Bihar,33,4711.18,145560.21,42.61,2708,2187,0,6,11,Standard,Yearly,UPI,No,No,56,1521.58,No
CUST000031,61,Female,Assam,98,291.64,29769.71,73.24,2937,1257,19,4,11,Premium,Monthly,Credit Card,Yes,No,5,989.85,No
CUST000032,42,Female,Karnataka,18,1525.98,25318.82,240.85,4813,2790,11,2,7,Standard,TwoYear,Debit Card,No,No,51,2155.95,Yes
CUST000033,66,Male,Uttarakhand,105,352.41,32471.22,68.42,1178,2778,10,6,12,Basic,Monthly,UPI,No,Yes,27,1916.9,Yes
CUST000034,44,Female,Gujarat,5,2891.73,13172.4,271.7,3020,1116,0,15,2,Standard,Monthly,UPI,Yes,No,12,1247.52,Yes
CUST000035,59,Female,Madhya Pradesh,1,669.38,674.91,162.24,4060,911,4,11,2,Premium,Yearly,Debit Card,No,No,49,3507.32,Yes
CUST000036,45,Female,Madhya Pradesh,71,2448.33,158661.48,24.56,767,2997,14,2,1,Premium,Yearly,Debit Card,Yes,No,54,3452.82,No
